,Position,AvgFinishes,Round,Year,CumulativePoints,TeamAvgFinish,TeamRollingAvg,PointsShifted
79,1.0,8.0,5,2024,77.0,2.0,5.0,26.0
80,2.0,5.666666666666667,5,2024,37.0,5.0,5.5,10.0
81,3.0,2.6666666666666665,5,2024,64.0,2.0,1.6666666666666667,18.0
82,4.0,3.6666666666666665,5,2024,59.0,4.5,2.8333333333333335,12.0
83,5.0,3.0,5,2024,55.0,4.5,3.8333333333333335,15.0
84,6.0,4.666666666666667,5,2024,24.0,7.5,11.166666666666666,6.0
85,7.0,5.333333333333333,5,2024,24.0,11.0,8.333333333333334,8.0
86,8.0,7.0,5,2024,32.0,5.0,6.0,4.0
87,9.0,7.666666666666667,5,2024,10.0,7.5,7.833333333333333,2.0
88,10.0,9.333333333333334,5,2024,3.0,13.0,11.166666666666666,0.0
89,11.0,11.666666666666666,5,2024,0.0,12.0,15.166666666666666,0.0
90,12.0,15.333333333333334,5,2024,0.0,14.5,16.0,0.0
91,13.0,17.0,5,2024,0.0,12.0,14.333333333333334,0.0
92,14.0,18.0,5,2024,0.0,17.0,15.5,0.0
93,15.0,15.333333333333334,5,2024,9.0,11.0,9.666666666666666,0.0
94,16.0,14.333333333333334,5,2024,1.0,13.0,12.333333333333334,0.0
95,17.0,14.0,5,2024,0.0,14.5,17.166666666666668,0.0
96,18.0,16.333333333333332,5,2024,0.0,18.5,12.833333333333334,0.0
97,19.0,15.333333333333334,5,2024,7.0,18.5,15.833333333333334,1.0
98,20.0,14.333333333333334,5,2024,0.0,17.0,16.333333333333332,0.0
99,1.0,8.666666666666666,6,2024,55.0,7.0,5.5,18.0
100,2.0,5.666666666666667,6,2024,102.0,3.0,1.8333333333333333,25.0
101,3.0,2.3333333333333335,6,2024,71.0,4.0,4.166666666666667,12.0
102,4.0,2.6666666666666665,6,2024,79.0,3.0,2.3333333333333335,15.0
103,5.0,4.0,6,2024,65.0,4.0,4.333333333333333,10.0
104,6.0,5.666666666666667,6,2024,12.0,7.0,7.666666666666667,2.0
105,7.0,11.0,6,2024,7.0,11.0,17.166666666666668,0.0
106,8.0,11.333333333333334,6,2024,32.0,7.0,7.333333333333333,8.0
107,9.0,10.666666666666666,6,2024,31.0,13.0,10.333333333333334,7.0
108,10.0,8.0,6,2024,0.0,11.0,13.166666666666666,0.0
109,11.0,9.333333333333334,6,2024,4.0,15.0,12.666666666666666,1.0
110,12.0,11.333333333333334,6,2024,0.0,11.0,11.666666666666666,0.0
111,13.0,10.333333333333334,6,2024,36.0,7.0,5.666666666666667,4.0
112,14.0,11.666666666666666,6,2024,0.0,15.0,16.666666666666668,0.0
113,15.0,13.333333333333334,6,2024,0.0,11.0,16.0,0.0
114,16.0,17.333333333333332,6,2024,0.0,15.0,16.333333333333332,0.0
115,17.0,17.666666666666668,6,2024,9.0,13.0,11.666666666666666,0.0
116,18.0,15.666666666666666,6,2024,0.0,19.0,15.833333333333334,0.0
117,19.0,14.333333333333334,6,2024,1.0,15.0,13.666666666666666,0.0
118,20.0,15.0,6,2024,0.0,19.0,16.0,0.0
119,1.0,11.666666666666666,7,2024,120.0,4.5,2.6666666666666665,18.0
120,2.0,6.666666666666667,7,2024,80.0,3.0,6.333333333333333,25.0
121,3.0,2.0,7,2024,86.0,4.0,4.166666666666667,15.0
122,4.0,5.666666666666667,7,2024,36.0,3.0,5.666666666666667,0.0
123,5.0,7.0,7,2024,75.0,4.0,4.0,10.0
124,6.0,8.0,7,2024,20.0,6.5,7.166666666666667,8.0
125,7.0,6.333333333333333,7,2024,36.0,6.5,6.833333333333333,4.0
126,8.0,6.0,7,2024,91.0,4.5,3.5,12.0
127,9.0,9.666666666666666,7,2024,9.0,14.0,12.333333333333334,0.0
128,10.0,9.333333333333334,7,2024,13.0,11.5,13.5,6.0
129,11.0,11.666666666666666,7,2024,4.0,11.5,14.333333333333334,0.0
130,12.0,12.333333333333334,7,2024,1.0,11.5,13.833333333333334,0.0
131,13.0,15.0,7,2024,0.0,11.5,11.166666666666666,0.0
132,14.0,14.666666666666666,7,2024,1.0,15.0,11.333333333333334,1.0
